quarter,month,ADM1_NAME,ADM1_CODE,inadequate
2023Q3,7,Benue,2215,0.38562091503267976
2023Q3,7,Borno,2216,0.5304054054054054
2023Q3,7,Cross River,2217,0.3741935483870968
2023Q3,7,Edo,2219,0.29605263157894735
2023Q3,7,Enugu,65703,0.35714285714285715
2023Q3,7,Gombe,65704,0.5612903225806452
2023Q3,7,Jigawa,2223,0.5822784810126582
2023Q3,7,Kaduna,2224,0.4968152866242038
2023Q3,7,Kano,2225,0.5579937304075235
2023Q3,7,Katsina,2226,0.6729559748427673
2023Q3,7,Kebbi,2227,0.6369426751592356
2023Q3,7,Kogi,2228,0.4240506329113924
2023Q3,7,Kwara,2229,0.34615384615384615
2023Q3,7,Lagos,2230,0.2459546925566343
2023Q3,7,Nassarawa,65705,0.3935483870967742
2023Q3,7,Niger,2231,0.577922077922078
2023Q3,7,Ogun,2232,0.36419753086419754
2023Q3,7,Plateau,65707,0.4967741935483871
2023Q3,7,Rivers,65708,0.3051948051948052
2023Q3,7,Sokoto,65709,0.6794871794871795
2023Q3,7,Taraba,2239,0.5414012738853503
2023Q3,7,Yobe,2240,0.5454545454545454
2023Q3,7,Zamfara,65710,0.6114649681528662
2023Q3,8,Abia,65698,0.33544303797468356
2023Q3,8,Abuja,2221,0.2724252491694352
2023Q3,8,Adamawa,2211,0.5368663594470046
2023Q3,8,Akwa Ibom,2212,0.4240506329113924
2023Q3,8,Bauchi,65699,0.6862745098039216
2023Q3,8,Benue,2215,0.39490445859872614
2023Q3,8,Borno,2216,0.6207482993197279
2023Q3,8,Cross River,2217,0.358974358974359
2023Q3,8,Edo,2219,0.42038216560509556
2023Q3,8,Enugu,65703,0.3419354838709677
2023Q3,8,Gombe,65704,0.6560509554140127
2023Q3,8,Jigawa,2223,0.6838709677419355
2023Q3,8,Kaduna,2224,0.5569620253164557
2023Q3,8,Kano,2225,0.6423841059602649
2023Q3,8,Katsina,2226,0.6623376623376623
2023Q3,8,Kebbi,2227,0.6838709677419355
2023Q3,8,Kogi,2228,0.33116883116883117
2023Q3,8,Kwara,2229,0.4144736842105263
2023Q3,8,Lagos,2230,0.22185430463576158
2023Q3,8,Nassarawa,65705,0.512987012987013
2023Q3,8,Niger,2231,0.5454545454545454
2023Q3,8,Ogun,2232,0.36942675159235666
2023Q3,8,Plateau,65707,0.45222929936305734
2023Q3,8,Rivers,65708,0.35365853658536583
2023Q3,8,Sokoto,65709,0.6025641025641025
2023Q3,8,Taraba,2239,0.6242038216560509
2023Q3,8,Yobe,2240,0.6214574898785425
2023Q3,8,Zamfara,65710,0.6858974358974359
2023Q3,9,Abia,65698,0.3493150684931507
2023Q3,9,Abuja,2221,0.3180327868852459
2023Q3,9,Adamawa,2211,0.5574162679425837
2023Q3,9,Akwa Ibom,2212,0.35333333333333333
2023Q3,9,Bauchi,65699,0.5436241610738255
2023Q3,9,Benue,2215,0.41333333333333333
2023Q3,9,Borno,2216,0.6164623467600701
2023Q3,9,Cross River,2217,0.3691275167785235
2023Q3,9,Edo,2219,0.4
2023Q3,9,Enugu,65703,0.3576158940397351
2023Q3,9,Gombe,65704,0.6326530612244898
2023Q3,9,Jigawa,2223,0.6174496644295302
2023Q3,9,Kaduna,2224,0.5241379310344828
2023Q3,9,Kano,2225,0.630718954248366
2023Q3,9,Katsina,2226,0.6081081081081081
2023Q3,9,Kebbi,2227,0.5743243243243243
2023Q3,9,Kogi,2228,0.43243243243243246
2023Q3,9,Kwara,2229,0.40540540540540543
2023Q3,9,Lagos,2230,0.2721311475409836
2023Q3,9,Nassarawa,65705,0.4
2023Q3,9,Niger,2231,0.4527027027027027
2023Q3,9,Ogun,2232,0.3223684210526316
2023Q3,9,Plateau,65707,0.4589041095890411
2023Q3,9,Rivers,65708,0.3698630136986301
2023Q3,9,Sokoto,65709,0.673469387755102
2023Q3,9,Taraba,2239,0.6258503401360545
2023Q3,9,Yobe,2240,0.5690376569037657
2023Q3,9,Zamfara,65710,0.678082191780822
2023Q4,10,Abia,65698,0.4025974025974026
2023Q4,10,Abuja,2221,0.27450980392156865
2023Q4,10,Adamawa,2211,0.44755244755244755
2023Q4,10,Akwa Ibom,2212,0.41721854304635764
2023Q4,10,Bauchi,65699,0.6821192052980133
2023Q4,10,Benue,2215,0.487012987012987
2023Q4,10,Borno,2216,0.5051020408163265
2023Q4,10,Cross River,2217,0.36129032258064514
2023Q4,10,Edo,2219,0.35714285714285715
2023Q4,10,Enugu,65703,0.42207792207792205
2023Q4,10,Gombe,65704,0.5870967741935483
2023Q4,10,Jigawa,2223,0.5833333333333334
2023Q4,10,Kaduna,2224,0.5064102564102564
2023Q4,10,Kano,2225,0.6091205211726385
2023Q4,10,Katsina,2226,0.6518987341772152
2023Q4,10,Kebbi,2227,0.569620253164557
2023Q4,10,Kogi,2228,0.4267515923566879
2023Q4,10,Kwara,2229,0.40625
2023Q4,10,Lagos,2230,0.2754098360655738
2023Q4,10,Nassarawa,65705,0.4503311258278146
2023Q4,10,Niger,2231,0.55625
2023Q4,10,Ogun,2232,0.304635761589404
2023Q4,10,Plateau,65707,0.45569620253164556
2023Q4,10,Rivers,65708,0.34210526315789475
2023Q4,10,Sokoto,65709,0.6129032258064516
2023Q4,10,Taraba,2239,0.474025974025974
2023Q4,10,Yobe,2240,0.5515151515151515
2023Q4,10,Zamfara,65710,0.6258064516129033
2023Q4,11,Abia,65698,0.44966442953020136
2023Q4,11,Abuja,2221,0.36789297658862874
2023Q4,11,Adamawa,2211,0.4420289855072464
2023Q4,11,Akwa Ibom,2212,0.42953020134228187
2023Q4,11,Bauchi,65699,0.72
2023Q4,11,Benue,2215,0.48
2023Q4,11,Borno,2216,0.4752650176678445
2023Q4,11,Cross River,2217,0.4
2023Q4,11,Edo,2219,0.4266666666666667
2023Q4,11,Enugu,65703,0.5
2023Q4,11,Gombe,65704,0.7066666666666667
2023Q4,11,Jigawa,2223,0.7346938775510204
2023Q4,11,Kaduna,2224,0.697986577181208
2023Q4,11,Kano,2225,0.7284768211920529
2023Q4,11,Katsina,2226,0.8095238095238095
2023Q4,11,Kebbi,2227,0.7414965986394558
2023Q4,11,Kogi,2228,0.49333333333333335
2023Q4,11,Kwara,2229,0.41333333333333333
2023Q4,11,Lagos,2230,0.2823920265780731
2023Q4,11,Nassarawa,65705,0.5947712418300654
2023Q4,11,Niger,2231,0.6554054054054054
2023Q4,11,Ogun,2232,0.4444444444444444
2023Q4,11,Plateau,65707,0.5986394557823129
2023Q4,11,Rivers,65708,0.45695364238410596
2023Q4,11,Sokoto,65709,0.7266666666666667
2023Q4,11,Taraba,2239,0.6866666666666666
2023Q4,11,Yobe,2240,0.4820295983086681
2023Q4,11,Zamfara,65710,0.8079470198675497
2023Q4,12,Abia,65698,0.46153846153846156
2023Q4,12,Abuja,2221,0.34285714285714286
2023Q4,12,Adamawa,2211,0.45348837209302323
2023Q4,12,Akwa Ibom,2212,0.4012738853503185
2023Q4,12,Bauchi,65699,0.7597402597402597
2023Q4,12,Benue,2215,0.47096774193548385
2023Q4,12,Borno,2216,0.5413793103448276
2023Q4,12,Cross River,2217,0.3225806451612903
2023Q4,12,Edo,2219,0.4230769230769231
2023Q4,12,Enugu,65703,0.41025641025641024
2023Q4,12,Gombe,65704,0.7483443708609272
2023Q4,12,Jigawa,2223,0.7677419354838709
2023Q4,12,Kaduna,2224,0.7096774193548387
2023Q4,12,Kano,2225,0.7582781456953642
2023Q4,12,Katsina,2226,0.7857142857142857
2023Q4,12,Kebbi,2227,0.6794871794871795
2023Q4,12,Kogi,2228,0.45569620253164556
2023Q4,12,Kwara,2229,0.43790849673202614
2023Q4,12,Lagos,2230,0.25249169435215946
2023Q4,12,Nassarawa,65705,0.5816993464052288
2023Q4,12,Niger,2231,0.6493506493506493
2023Q4,12,Ogun,2232,0.4041095890410959
2023Q4,12,Plateau,65707,0.5483870967741935
2023Q4,12,Rivers,65708,0.4391891891891892
2023Q4,12,Sokoto,65709,0.7272727272727273
2023Q4,12,Taraba,2239,0.7012987012987013
2023Q4,12,Yobe,2240,0.5456389452332657
2023Q4,12,Zamfara,65710,0.7908496732026143
2024Q1,1,Abia,65698,0.45454545454545453
2024Q1,1,Abuja,2221,0.2870967741935484
2024Q1,1,Adamawa,2211,0.5115740740740741
2024Q1,1,Akwa Ibom,2212,0.3870967741935484
2024Q1,1,Bauchi,65699,0.7484276729559748
2024Q1,1,Benue,2215,0.48717948717948717
2024Q1,1,Borno,2216,0.6757679180887372
2024Q1,1,Cross River,2217,0.4166666666666667
2024Q1,1,Edo,2219,0.3708609271523179
2024Q1,1,Enugu,65703,0.4
2024Q1,1,Gombe,65704,0.725
2024Q1,1,Jigawa,2223,0.8227848101265823
2024Q1,1,Kaduna,2224,0.6493506493506493
2024Q1,1,Kano,2225,0.7125
2024Q1,1,Katsina,2226,0.7707006369426752
2024Q1,1,Kebbi,2227,0.7843137254901961
2024Q1,1,Kogi,2228,0.45394736842105265
2024Q1,1,Kwara,2229,0.43790849673202614
2024Q1,1,Lagos,2230,0.215625
2024Q1,1,Nassarawa,65705,0.5886075949367089
2024Q1,1,Niger,2231,0.6772151898734177
2024Q1,1,Ogun,2232,0.3333333333333333
2024Q1,1,Plateau,65707,0.5769230769230769
2024Q1,1,Rivers,65708,0.43636363636363634
2024Q1,1,Sokoto,65709,0.7531645569620253
2024Q1,1,Taraba,2239,0.6645569620253164
