country_id,country_name,region_id,region_name,variable_id,variable_name,sensor_id,sensor_name,class_id,class_name,date,value
155,Nigeria,535,Lagos,240,FPAR Cumulated - zscore,3,MODIS,1,Crop during growing cycle,20040101,0.07
155,Nigeria,535,Lagos,240,FPAR Cumulated - zscore,3,MODIS,1,Crop during growing cycle,20040111,0.72
155,Nigeria,535,Lagos,240,FPAR Cumulated - zscore,3,MODIS,1,Crop during growing cycle,20040211,0.87
155,Nigeria,535,Lagos,240,FPAR Cumulated - zscore,3,MODIS,1,Crop during growing cycle,20040221,0.374
155,Nigeria,535,Lagos,240,FPAR Cumulated - zscore,3,MODIS,1,Crop during growing cycle,20040301,0.463
155,Nigeria,535,Lagos,240,FPAR Cumulated - zscore,3,MODIS,1,Crop during growing cycle,20040311,0.324
155,Nigeria,535,Lagos,240,FPAR Cumulated - zscore,3,MODIS,1,Crop during growing cycle,20040321,0.328
155,Nigeria,535,Lagos,240,FPAR Cumulated - zscore,3,MODIS,1,Crop during growing cycle,20040401,0.303
155,Nigeria,535,Lagos,240,FPAR Cumulated - zscore,3,MODIS,1,Crop during growing cycle,20040411,0.322
155,Nigeria,535,Lagos,240,FPAR Cumulated - zscore,3,MODIS,1,Crop during growing cycle,20040421,0.331
155,Nigeria,535,Lagos,240,FPAR Cumulated - zscore,3,MODIS,1,Crop during growing cycle,20040501,0.37
155,Nigeria,535,Lagos,240,FPAR Cumulated - zscore,3,MODIS,1,Crop during growing cycle,20040511,0.409
155,Nigeria,535,Lagos,240,FPAR Cumulated - zscore,3,MODIS,1,Crop during growing cycle,20040521,0.457
155,Nigeria,535,Lagos,240,FPAR Cumulated - zscore,3,MODIS,1,Crop during growing cycle,20040601,0.512
155,Nigeria,535,Lagos,240,FPAR Cumulated - zscore,3,MODIS,1,Crop during growing cycle,20040611,0.582
155,Nigeria,535,Lagos,240,FPAR Cumulated - zscore,3,MODIS,1,Crop during growing cycle,20040621,0.606
155,Nigeria,535,Lagos,240,FPAR Cumulated - zscore,3,MODIS,1,Crop during growing cycle,20040701,0.654
155,Nigeria,535,Lagos,240,FPAR Cumulated - zscore,3,MODIS,1,Crop during growing cycle,20040711,0.665
155,Nigeria,535,Lagos,240,FPAR Cumulated - zscore,3,MODIS,1,Crop during growing cycle,20040721,0.664
155,Nigeria,535,Lagos,240,FPAR Cumulated - zscore,3,MODIS,1,Crop during growing cycle,20040801,0.713
155,Nigeria,535,Lagos,240,FPAR Cumulated - zscore,3,MODIS,1,Crop during growing cycle,20040811,0.679
155,Nigeria,535,Lagos,240,FPAR Cumulated - zscore,3,MODIS,1,Crop during growing cycle,20040821,0.455
155,Nigeria,535,Lagos,240,FPAR Cumulated - zscore,3,MODIS,1,Crop during growing cycle,20040901,0.746
155,Nigeria,535,Lagos,240,FPAR Cumulated - zscore,3,MODIS,1,Crop during growing cycle,20040911,0.65
155,Nigeria,535,Lagos,240,FPAR Cumulated - zscore,3,MODIS,1,Crop during growing cycle,20040921,0.743
155,Nigeria,535,Lagos,240,FPAR Cumulated - zscore,3,MODIS,1,Crop during growing cycle,20041001,0.816
