dataset_folder,year,filepath,tile,datetime_utc,band,size_bytes
data_floods_ng,2024.0,data_floods_ng/2024/OPERA_L3_DSWx-S1_T31NDH_20240830T181036Z_20251107T170007Z_S1A_30_v1.0_B04_DIAG.tif,31NDH,20240830T181036Z,B04,1884326
data_floods_ng,2024.0,data_floods_ng/2024/OPERA_L3_DSWx-S1_T31NDH_20240901T053039Z_20251107T055723Z_S1A_30_v1.0_B01_WTR.tif,31NDH,20240901T053039Z,B01,101046
data_floods_ng,2024.0,data_floods_ng/2024/OPERA_L3_DSWx-S1_T31NDH_20240901T053039Z_20251107T055723Z_S1A_30_v1.0_B02_BWTR.tif,31NDH,20240901T053039Z,B02,100414
data_floods_ng,2024.0,data_floods_ng/2024/OPERA_L3_DSWx-S1_T31NDH_20240901T053039Z_20251107T055723Z_S1A_30_v1.0_B03_CONF.tif,31NDH,20240901T053039Z,B03,143832
data_floods_ng,2024.0,data_floods_ng/2024/OPERA_L3_DSWx-S1_T31NDH_20240901T053039Z_20251107T055723Z_S1A_30_v1.0_B04_DIAG.tif,31NDH,20240901T053039Z,B04,276354
data_floods_ng,2024.0,data_floods_ng/2024/OPERA_L3_DSWx-S1_T31NDJ_20240825T180236Z_20251107T011542Z_S1A_30_v1.0_B01_WTR.tif,31NDJ,20240825T180236Z,B01,61587
data_floods_ng,2024.0,data_floods_ng/2024/OPERA_L3_DSWx-S1_T31NDJ_20240825T180236Z_20251107T011542Z_S1A_30_v1.0_B02_BWTR.tif,31NDJ,20240825T180236Z,B02,60667
data_floods_ng,2024.0,data_floods_ng/2024/OPERA_L3_DSWx-S1_T31NDJ_20240825T180236Z_20251107T011542Z_S1A_30_v1.0_B03_CONF.tif,31NDJ,20240825T180236Z,B03,1423785
data_floods_ng,2024.0,data_floods_ng/2024/OPERA_L3_DSWx-S1_T31NDJ_20240825T180236Z_20251107T011542Z_S1A_30_v1.0_B04_DIAG.tif,31NDJ,20240825T180236Z,B04,7509495
data_floods_ng,2024.0,data_floods_ng/2024/OPERA_L3_DSWx-S1_T31NDJ_20240830T181104Z_20251107T170155Z_S1A_30_v1.0_B01_WTR.tif,31NDJ,20240830T181104Z,B01,88050
data_floods_ng,2024.0,data_floods_ng/2024/OPERA_L3_DSWx-S1_T31NDJ_20240830T181104Z_20251107T170155Z_S1A_30_v1.0_B02_BWTR.tif,31NDJ,20240830T181104Z,B02,88036
data_floods_ng,2024.0,data_floods_ng/2024/OPERA_L3_DSWx-S1_T31NDJ_20240830T181104Z_20251107T170155Z_S1A_30_v1.0_B03_CONF.tif,31NDJ,20240830T181104Z,B03,185047
data_floods_ng,2024.0,data_floods_ng/2024/OPERA_L3_DSWx-S1_T31NDJ_20240830T181104Z_20251107T170155Z_S1A_30_v1.0_B04_DIAG.tif,31NDJ,20240830T181104Z,B04,919249
data_floods_ng,2024.0,data_floods_ng/2024/OPERA_L3_DSWx-S1_T31NEE_20240825T180152Z_20251107T161647Z_S1A_30_v1.0_B01_WTR.tif,31NEE,20240825T180152Z,B01,87950
